Time (mins),FC1,FC2,FG,TO,FO,DT,TS1,TS2
224.0,96.75814865,102.48596755,95.69817199,787.01033,198.978084,2.0617463,1261.39777,1263.39188
225.0,97.181869909,102.17400499,95.847741653,786.701994,199.004343,2.48404069,1260.21652,1262.97808
226.0,96.580255091,102.76677167,95.909076545,786.483002,199.084268,2.31298372,1257.85161,1264.57923
227.0,96.392838879,102.67848234,95.578388522,786.691216,199.174804,2.33854608,1258.8653,1265.72242
228.0,95.751721266,103.16188771,95.403423184,787.080589,199.232211,2.00896289,1258.93788,1267.58145
229.0,95.508739202,103.5707002,95.662543332,787.022403,199.178581,1.74141106,1258.36165,1267.00723
230.0,95.246473937,104.01185912,95.925661712,786.605532,199.090257,1.42547963,1257.31082,1265.91824
231.0,95.661532891,103.77792909,96.324492733,785.980989,199.086651,1.49656477,1257.03974,1263.09438
232.0,96.000303884,103.25182197,96.258581189,785.656548,199.143878,1.69862506,1257.92921,1262.1795
233.0,96.079694092,102.80331462,95.980599116,785.861778,199.242406,1.86905145,1259.31153,1263.2474
234.0,95.909898518,102.59330933,95.583646746,786.42222,199.245646,1.92076553,1260.83589,1265.54118
235.0,95.618347985,102.57756403,95.055800852,787.26442,199.124767,1.86135981,1262.65124,1268.35748
236.0,95.508339093,102.95890866,95.222134558,787.630459,198.91758,1.70094598,1262.12359,1268.72365
237.0,94.916163124,104.03261682,95.582472991,787.323415,198.677024,1.14827863,1259.2944,1268.42272
238.0,94.180263122,105.18264292,95.947362853,786.749631,198.607099,0.436057957,1256.52878,1267.30009
239.0,93.459326736,105.99521069,96.011993058,786.380258,198.720993,-0.252391302,1255.62286,1266.46683
240.0,93.02940822,106.44726186,96.207724156,786.085276,198.934964,-0.776012342,1255.49784,1265.04174
241.0,92.77470444,106.2898755,95.788839678,786.266865,199.108155,-1.03637199,1257.95539,1265.28779
242.0,93.123695763,105.77562786,95.795421117,786.50722,199.230993,-0.932436449,1260.00181,1264.40667
243.0,93.418662697,105.3717161,95.754446607,786.560027,199.175522,-0.760991693,1261.01341,1264.22529
244.0,94.003305474,104.81838059,95.866254788,786.469131,199.083456,-0.379614219,1261.45494,1263.38071
245.0,94.342603478,104.60845543,96.107514621,786.157297,198.985764,-0.101286872,1260.39282,1262.83325
246.0,94.717289839,104.31545814,96.325579082,785.749676,198.931071,0.228681436,1259.45153,1262.09225
247.0,95.125249931,103.6740327,96.097098266,785.745207,198.937734,0.681915176,1260.37798,1262.53172
248.0,95.3369042,103.12411721,95.686461313,786.260827,198.969405,1.07444329,1261.92574,1264.4255
249.0,95.368085078,103.03433791,95.598695781,786.70644,198.912698,1.27687377,1262.05478,1265.98399
250.0,96.053737386,102.43587992,95.583171476,786.884714,198.762139,1.78750799,1262.87514,1265.52594
251.0,95.852327263,102.82335779,95.661031684,786.882511,198.642233,1.76621264,1261.11426,1266.47619
252.0,95.398408175,103.47766924,95.769131521,786.766228,198.591361,1.51124388,1259.23546,1267.01468
253.0,94.808754734,104.14694179,95.737638277,786.733668,198.619469,1.1109406,1258.25858,1267.51322
254.0,93.815682793,105.33922085,96.012225409,786.507451,198.705005,0.352464431,1256.06837,1267.63937
255.0,93.854918129,105.18958498,95.853707001,786.439633,198.788569,0.202643858,1257.88025,1266.25567
256.0,94.771733551,104.25670736,95.948943159,786.412484,198.910681,0.613531026,1260.11493,1263.6551
257.0,95.428393414,103.63011645,96.141548608,786.15003,198.955288,1.01708272,1260.28623,1262.3188
258.0,95.677138062,102.9855337,95.612093242,786.440344,198.979672,1.39640319,1261.90647,1264.00894
259.0,96.133467728,102.44331735,95.525074689,786.884763,199.005952,1.83599866,1262.7345,1264.81963
