Time (mins),FC1,FC2,FG,TO,FO,DT,TS1,TS2
208.0,105.3531736,105.62561619,96.503504919,783.185171,210.238492,0.33600573,1258.58347,1261.58823
209.0,104.77908801,105.92118689,96.333462514,783.117629,210.486659,-0.0481123332,1259.2581,1262.44634
210.0,104.19130327,106.16986606,96.057997136,783.41251,210.650703,-0.448642647,1260.8564,1263.97087
211.0,104.54486358,105.48925953,95.618061919,784.005378,210.667227,-0.297337334,1264.78171,1264.40605
212.0,104.65112168,105.34163902,95.373269915,784.60428,210.565207,-0.27560247,1266.50569,1265.64802
213.0,104.42585395,105.9455483,95.567451123,784.716815,210.388179,-0.533713876,1265.24049,1266.15668
214.0,104.93540956,105.89053032,95.789693342,784.457554,210.256373,-0.412656191,1264.89448,1264.27828
215.0,105.20006066,105.9754456,95.93157688,784.176988,210.294716,-0.365707652,1263.96373,1263.20476
216.0,105.03552932,106.3838454,96.068250781,783.931583,210.471791,-0.525286565,1262.48455,1263.04966
217.0,104.6740376,106.60992826,95.695924156,784.14153,210.706362,-0.721276123,1263.09768,1264.41364
218.0,104.49497564,106.69042289,95.403561389,784.659,210.944033,-0.848006687,1264.45792,1265.5521
219.0,104.90068642,106.59999905,95.712175345,784.63698,211.057344,-0.747488765,1264.49074,1264.07671
220.0,105.80835582,105.92986094,95.853620169,784.289885,211.100029,-0.273723699,1265.06143,1261.90963
221.0,106.17798158,105.63464992,95.797768099,784.153648,211.233581,0.0283110091,1264.81633,1261.9366
222.0,106.94910744,104.94160635,95.789865797,784.146689,211.401793,0.59460479,1265.40614,1261.37205
223.0,107.3022663,104.62378024,95.703979111,784.212221,211.538739,0.971747487,1265.2668,1262.14069
224.0,107.80305268,104.19315805,95.662428259,784.294538,211.656064,1.41620595,1265.44432,1262.43501
225.0,107.85416954,104.27533051,95.70058321,784.280879,211.746058,1.56786823,1264.44734,1263.27895
226.0,107.29198312,105.07478795,95.922987615,784.028981,211.829442,1.26129848,1261.98389,1264.20955
227.0,107.12930015,105.1779613,95.669239515,784.055433,211.929461,1.15727308,1262.712,1264.69861
228.0,107.17758294,105.31669189,95.867120538,784.00966,212.075231,1.07120967,1262.58,1263.97868
229.0,107.07415399,105.57830067,96.009876106,783.732738,212.152574,0.902236813,1261.98946,1263.49054
230.0,106.43036304,106.23231636,95.971163446,783.59494,212.266475,0.442369882,1261.20778,1264.38991
231.0,105.98779816,106.69413705,95.986886564,783.545866,212.395135,0.0385347164,1261.25358,1264.54623
232.0,105.74298309,106.89796959,95.879440098,783.599928,212.484316,-0.254918793,1262.2047,1264.6155
233.0,105.345175,107.20972275,95.633255736,783.88129,212.550189,-0.611506227,1263.27679,1265.6033
234.0,104.93891219,107.60061331,95.375172101,784.31828,212.580444,-0.990539298,1264.35652,1266.75254
235.0,104.9722371,107.68373083,95.165989054,784.767232,212.571929,-1.14707632,1265.86243,1266.9072
236.0,105.36894187,107.80550319,95.527895926,784.674052,212.561128,-1.16318307,1265.30443,1265.01968
237.0,105.60646127,108.17482649,96.104396697,783.922359,212.592741,-1.24453473,1262.78457,1262.55796
238.0,105.62269918,108.48574907,96.500713423,783.0422,212.786643,-1.35520632,1260.54182,1260.69676
239.0,105.63408628,108.40682337,96.570665281,782.514043,213.118191,-1.35013295,1260.20797,1259.90547
240.0,105.39172213,108.38406814,96.520317166,782.341389,213.448277,-1.41707042,1260.50902,1260.54477
241.0,105.79274068,107.5885437,96.265865993,782.491309,213.645821,-1.05811126,1263.14331,1260.85164
242.0,105.9455998,107.1058469,95.967861572,782.879199,213.689144,-0.788130165,1265.02415,1262.55636
243.0,106.12310749,106.88753495,95.899716799,783.162572,213.586524,-0.556278316,1265.73932,1263.73309
244.0,106.0608309,107.0194079,95.764656967,783.385364,213.408165,-0.499289024,1265.76253,1265.15288
245.0,105.6518788,107.73191218,95.878062692,783.435742,213.275657,-0.757832886,1264.25791,1266.1055
